kernel_name,layout,use_smem,M,N,run,time_ms,bw_gbps,checksum
Ar_Br_flat_row,Ar_Br,0,16384,16384,92,1.749696,3682.040,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,93,1.747328,3687.030,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,94,1.747136,3687.435,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,95,1.748704,3684.129,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,96,1.752512,3676.124,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,97,1.750400,3680.559,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,98,1.747968,3685.680,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,99,1.748384,3684.803,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,0,12.161408,529.745,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,1,12.160704,529.776,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,2,12.167072,529.499,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,3,12.163264,529.665,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,4,12.168480,529.438,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,5,12.172256,529.273,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,6,12.161568,529.739,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,7,12.156608,529.955,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,8,12.145568,530.436,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,9,12.164416,529.614,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,10,12.159136,529.844,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,11,12.168736,529.426,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,12,12.151168,530.192,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,13,12.160640,529.779,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,14,12.152000,530.156,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,15,12.149088,530.283,40260355806.111153
Ar_Br_flat_col,Ar_Br,0,16384,16384,16,12.157920,529.897,40260355806.111153
