backend,variant,nlev,nproma,cell_dist,blocking,parallelization,run_id,time_ms
cpu,2,90,81920,uniform,0,omp_for,99,2.138915000
cpu,2,90,81920,uniform,0,omp_collapse2,0,1.869493000
cpu,2,90,81920,uniform,0,omp_collapse2,1,2.434977000
cpu,2,90,81920,uniform,0,omp_collapse2,2,2.416228000
cpu,2,90,81920,uniform,0,omp_collapse2,3,2.454738000
cpu,2,90,81920,uniform,0,omp_collapse2,4,2.389457000
cpu,2,90,81920,uniform,0,omp_collapse2,5,2.452558000
cpu,2,90,81920,uniform,0,omp_collapse2,6,2.397048000
cpu,2,90,81920,uniform,0,omp_collapse2,7,2.419647000
cpu,2,90,81920,uniform,0,omp_collapse2,8,2.385138000
cpu,2,90,81920,uniform,0,omp_collapse2,9,2.406627000
cpu,2,90,81920,uniform,0,omp_collapse2,10,2.445878000
cpu,2,90,81920,uniform,0,omp_collapse2,11,2.431617000
cpu,2,90,81920,uniform,0,omp_collapse2,12,2.470898000
cpu,2,90,81920,uniform,0,omp_collapse2,13,2.423108000
cpu,2,90,81920,uniform,0,omp_collapse2,14,2.450208000
cpu,2,90,81920,uniform,0,omp_collapse2,15,2.409598000
cpu,2,90,81920,uniform,0,omp_collapse2,16,2.448178000
cpu,2,90,81920,uniform,0,omp_collapse2,17,2.401948000
cpu,2,90,81920,uniform,0,omp_collapse2,18,2.448858000
cpu,2,90,81920,uniform,0,omp_collapse2,19,2.449417000
cpu,2,90,81920,uniform,0,omp_collapse2,20,2.396858000
cpu,2,90,81920,uniform,0,omp_collapse2,21,2.413308000
cpu,2,90,81920,uniform,0,omp_collapse2,22,2.440338000
cpu,2,90,81920,uniform,0,omp_collapse2,23,2.380068000
cpu,2,90,81920,uniform,0,omp_collapse2,24,2.441388000
cpu,2,90,81920,uniform,0,omp_collapse2,25,2.418987000
cpu,2,90,81920,uniform,0,omp_collapse2,26,2.483388000
cpu,2,90,81920,uniform,0,omp_collapse2,27,2.402858000
cpu,2,90,81920,uniform,0,omp_collapse2,28,2.414878000
cpu,2,90,81920,uniform,0,omp_collapse2,29,2.429058000
cpu,2,90,81920,uniform,0,omp_collapse2,30,2.442357000
cpu,2,90,81920,uniform,0,omp_collapse2,31,2.413298000
cpu,2,90,81920,uniform,0,omp_collapse2,32,2.466178000
cpu,2,90,81920,uniform,0,omp_collapse2,33,2.375597000
cpu,2,90,81920,uniform,0,omp_collapse2,34,2.499577000
cpu,2,90,81920,uniform,0,omp_collapse2,35,2.392787000
cpu,2,90,81920,uniform,0,omp_collapse2,36,2.457898000
cpu,2,90,81920,uniform,0,omp_collapse2,37,2.409837000
cpu,2,90,81920,uniform,0,omp_collapse2,38,2.451928000
cpu,2,90,81920,uniform,0,omp_collapse2,39,2.389218000
cpu,2,90,81920,uniform,0,omp_collapse2,40,2.447278000
cpu,2,90,81920,uniform,0,omp_collapse2,41,2.439307000
cpu,2,90,81920,uniform,0,omp_collapse2,42,2.412768000
cpu,2,90,81920,uniform,0,omp_collapse2,43,2.446708000
cpu,2,90,81920,uniform,0,omp_collapse2,44,2.450418000
cpu,2,90,81920,uniform,0,omp_collapse2,45,2.424477000
cpu,2,90,81920,uniform,0,omp_collapse2,46,2.404587000
cpu,2,90,81920,uniform,0,omp_collapse2,47,2.392428000
cpu,2,90,81920,uniform,0,omp_collapse2,48,2.444548000
cpu,2,90,81920,uniform,0,omp_collapse2,49,2.430428000
cpu,2,90,81920,uniform,0,omp_collapse2,50,2.453628000
cpu,2,90,81920,uniform,0,omp_collapse2,51,2.430178000
cpu,2,90,81920,uniform,0,omp_collapse2,52,2.434408000
cpu,2,90,81920,uniform,0,omp_collapse2,53,2.402608000
cpu,2,90,81920,uniform,0,omp_collapse2,54,2.512058000
cpu,2,90,81920,uniform,0,omp_collapse2,55,2.428928000
cpu,2,90,81920,uniform,0,omp_collapse2,56,2.453187000
cpu,2,90,81920,uniform,0,omp_collapse2,57,2.456508000
cpu,2,90,81920,uniform,0,omp_collapse2,58,2.423028000
cpu,2,90,81920,uniform,0,omp_collapse2,59,2.469138000
cpu,2,90,81920,uniform,0,omp_collapse2,60,2.445597000
cpu,2,90,81920,uniform,0,omp_collapse2,61,2.386507000
cpu,2,90,81920,uniform,0,omp_collapse2,62,2.440188000
cpu,2,90,81920,uniform,0,omp_collapse2,63,2.461758000
cpu,2,90,81920,uniform,0,omp_collapse2,64,2.416537000
cpu,2,90,81920,uniform,0,omp_collapse2,65,2.435468000
cpu,2,90,81920,uniform,0,omp_collapse2,66,2.448228000
cpu,2,90,81920,uniform,0,omp_collapse2,67,2.413987000
cpu,2,90,81920,uniform,0,omp_collapse2,68,2.484928000
cpu,2,90,81920,uniform,0,omp_collapse2,69,2.420608000
cpu,2,90,81920,uniform,0,omp_collapse2,70,2.468598000
cpu,2,90,81920,uniform,0,omp_collapse2,71,2.485628000
cpu,2,90,81920,uniform,0,omp_collapse2,72,2.460868000
cpu,2,90,81920,uniform,0,omp_collapse2,73,2.437448000
cpu,2,90,81920,uniform,0,omp_collapse2,74,2.500799000
